CIK,Year,Quarter,Ticker,Stock Price,Total Revenue,Net Income,EPS,Operating Margin
0000004962,2010,3,AXP,34.05,7033.00,1093.00,0.91,23.32
0000004962,2011,1,AXP,36.95,7031.00,1177.00,0.98,24.63
0000004962,2011,2,AXP,42.58,7618.00,1331.00,1.11,17.00
0000004962,2011,3,AXP,36.98,7571.00,1235.00,1.04,22.59
0000004962,2012,1,AXP,48.03,7614.00,1256.00,1.07,16.51
0000004962,2012,2,AXP,48.49,7965.00,1339.00,1.16,16.80
0000004962,2012,3,AXP,47.53,7862.00,1236.00,1.10,15.89
0000004962,2013,1,AXP,56.78,8400.00,1280.00,1.15,28.90
0000004962,2013,2,AXP,63.11,8245.00,1405.00,1.28,24.21
0000004962,2013,3,AXP,63.95,8301.00,1366.00,1.26,24.13
0000004962,2014,1,AXP,76.67,8199.00,1432.00,1.34,26.93
0000004962,2014,2,AXP,80.99,8657.00,1529.00,1.43,17.65
0000004962,2014,3,AXP,74.94,8329.00,1477.00,1.40,26.95
0000004962,2015,1,AXP,67.50,7950.00,1525.00,1.49,
0000004962,2015,2,AXP,67.40,8284.00,1473.00,1.43,26.93
0000004962,2015,3,AXP,64.29,8193.00,1266.00,1.24,23.67
0000004962,2016,1,AXP,53.69,8088.00,1426.00,1.45,17.61
0000004962,2016,2,AXP,53.65,8235.00,2015.00,2.11,
0000004962,2016,3,AXP,56.55,7774.00,1142.00,1.21,14.68
0000004962,2017,1,AXP,70.51,7889.00,1237.00,1.34,23.04
0000004962,2017,2,AXP,75.39,8307.00,1340.00,1.47,23.46
0000004962,2017,3,AXP,81.26,8436.00,1356.00,1.50,21.67
0000004962,2018,1,AXP,84.41,9718.00,1634.00,1.86,16.82
0000004962,2018,2,AXP,89.01,10002.00,1623.00,1.84,20.91
0000004962,2018,3,AXP,97.07,10144.00,1654.00,1.89,20.87
0000004962,2019,1,AXP,100.40,10364.00,1550.00,1.80,18.89
0000004962,2019,2,AXP,113.79,10838.00,1761.00,2.07,20.45
0000004962,2019,3,AXP,109.38,10989.00,1755.00,2.08,20.60
0000004962,2020,1,AXP,79.75,10310.00,367.00,0.41,
0000004962,2020,2,AXP,89.17,7675.00,257.00,0.29,
0000004962,2020,3,AXP,94.33,8751.00,1073.00,1.30,15.60
0000004962,2021,1,AXP,134.51,9064.00,2235.00,2.74,24.66
0000004962,2021,2,AXP,157.14,10243.00,2280.00,2.80,28.66
0000004962,2021,3,AXP,159.74,10928.00,1826.00,2.27,
0000004962,2022,1,AXP,179.20,11735.00,2099.00,2.73,23.13
0000004962,2022,2,AXP,133.71,13395.00,1964.00,2.57,22.06
0000004962,2022,3,AXP,130.13,13556.00,1879.00,2.47,18.13
0000004962,2023,1,AXP,160.27,14281.00,1816.00,2.40,15.18
0000004962,2023,2,AXP,169.88,15054.00,2174.00,2.89,26.11
0000004962,2023,3,AXP,145.99,15381.00,2451.00,3.30,
0000004962,2024,1,AXP,224.45,15801.00,2437.00,3.33,15.43
0000004962,2024,2,AXP,228.96,16333.00,3015.00,4.15,30.95
0000004962,2024,3,AXP,268.97,16636.00,2507.00,3.49,19.26
0000004977,2000,3,AFL,9.84,2475.00,163.00,0.61,10.18
0000004977,2001,1,AFL,8.41,2421.00,178.00,0.34,11.32
0000004977,2001,2,AFL,9.63,2348.00,153.00,0.29,10.61
0000004977,2001,3,AFL,8.27,2446.00,193.00,0.37,12.02
0000004977,2002,1,AFL,9.07,2371.00,183.00,0.35,8.10
0000004977,2002,2,AFL,9.86,2513.00,212.00,0.41,8.04
0000004977,2002,3,AFL,9.47,2707.00,240.00,0.46,13.18
0000004977,2003,1,AFL,9.94,2807.00,237.00,0.46,8.70
0000004977,2003,2,AFL,9.55,2861.00,248.00,0.48,8.39
0000004977,2003,3,AFL,10.06,2931.00,237.00,0.46,8.37
0000004977,2004,1,AFL,12.56,3280.00,315.00,0.62,14.57
0000004977,2004,2,AFL,12.80,3233.00,265.00,0.52,13.00
0000004977,2004,3,AFL,12.33,3321.00,301.00,0.59,13.81
0000004977,2005,1,AFL,11.78,3559.00,328.00,0.65,14.22
0000004977,2005,2,AFL,13.72,3567.00,336.00,0.67,14.48
0000004977,2005,3,AFL,14.40,3669.00,455.00,0.91,17.58
0000004977,2006,1,AFL,14.41,3559.00,375.00,0.75,16.17
0000004977,2006,2,AFL,14.84,3697.00,408.00,0.82,16.87
0000004977,2006,3,AFL,14.70,3672.00,367.00,0.74,15.16
0000004977,2007,1,AFL,15.23,3751.00,416.00,0.85,17.00
0000004977,2007,2,AFL,16.70,3764.00,415.00,0.85,16.87
0000004977,2007,3,AFL,18.60,3861.00,420.00,0.86,16.62
0000004977,2008,1,AFL,21.34,4267.00,474.00,0.99,17.02
0000004977,2008,2,AFL,20.71,4336.00,483.00,1.02,17.06
0000004977,2008,3,AFL,19.46,3691.00,100.00,0.21,4.01
0000004977,2009,1,AFL,6.53,4818.00,569.00,1.22,18.08
0000004977,2009,2,AFL,10.58,4313.00,314.00,0.67,10.97
0000004977,2009,3,AFL,14.64,4526.00,363.00,0.78,12.13
0000004977,2010,1,AFL,18.83,5065.00,636.00,1.36,12.55
0000004977,2010,2,AFL,14.89,4980.00,581.00,1.24,17.87
0000004977,2010,3,AFL,18.15,5394.00,690.00,1.47,19.57
0000004977,2011,1,AFL,18.73,5117.00,395.00,0.84,11.72
0000004977,2011,2,AFL,16.66,5100.00,280.00,0.60,20.46
0000004977,2011,3,AFL,12.57,5987.00,744.00,1.60,18.45
0000004977,2012,1,AFL,16.78,6240.00,785.00,1.68,12.59
