CIK,Year,Quarter,Ticker,Stock Price,Total Revenue,Net Income,EPS,Operating Margin
320193,2024,1,AAPL,170.67,119575.0,33916.0,2.19,33.76
320193,2024,2,AAPL,209.91,90753.0,23636.0,1.53,30.74
320193,2024,3,AAPL,232.49,85777.0,21448.0,1.4,29.53
320193,2025,1,AAPL,222.13,124300.0,36330.0,2.41,34.47
1551152,2013,1,ABBV,24.95,4329.0,968.0,0.61,30.13
1551152,2013,2,ABBV,25.52,4692.0,1068.0,0.67,30.97
1551152,2013,3,ABBV,27.87,4658.0,964.0,0.6,29.45
1551152,2014,1,ABBV,32.57,4563.0,980.0,0.61,29.6
1551152,2014,2,ABBV,36.08,4926.0,1098.0,0.69,30.77
1551152,2014,3,ABBV,37.21,5019.0,506.0,0.32,19.14
1551152,2015,1,ABBV,38.28,5040.0,1022.0,0.64,33.45
1551152,2015,2,ABBV,44.3,5475.0,1366.0,0.84,33.8
1551152,2015,3,ABBV,36.14,5944.0,1239.0,0.75,31.72
1551152,2016,1,ABBV,38.69,5958.0,1354.0,0.83,38.27
1551152,2016,2,ABBV,42.34,6452.0,1610.0,0.99,36.97
1551152,2016,3,ABBV,43.51,6432.0,1598.0,0.97,36.7
1551152,2017,1,ABBV,45.82,6538.0,1711.0,1.07,37.0
1551152,2017,2,ABBV,51.5,6944.0,1915.0,1.2,38.53
1551152,2017,3,ABBV,63.68,6995.0,1631.0,1.02,38.67
1551152,2018,1,ABBV,68.79,7934.0,2783.0,1.74,36.61
1551152,2018,2,ABBV,68.03,8278.0,1983.0,1.26,33.35
1551152,2018,3,ABBV,70.16,8236.0,2747.0,1.81,38.38
1551152,2019,1,ABBV,61.16,7828.0,2456.0,1.65,38.44
1551152,2019,2,ABBV,55.92,8255.0,741.0,0.49,41.2
1551152,2019,3,ABBV,59.12,8479.0,1884.0,1.27,30.86
1551152,2020,1,ABBV,61.17,8619.0,3010.0,2.02,41.79
1551152,2020,2,ABBV,80.0,10425.0,-738.0,-0.46,7.22
1551152,2020,3,ABBV,72.24,12902.0,2308.0,1.3,25.23
1551152,2021,1,ABBV,91.53,13010.0,3553.0,1.99,31.53
1551152,2021,2,ABBV,96.42,13959.0,766.0,0.42,31.8
1551152,2021,3,ABBV,93.37,14342.0,3179.0,1.78,30.01
1551152,2022,1,ABBV,143.49,13538.0,4490.0,2.51,34.85
1551152,2022,2,ABBV,136.72,14583.0,924.0,0.52,22.59
1551152,2022,3,ABBV,120.93,14812.0,3949.0,2.22,31.07
1551152,2023,1,ABBV,146.44,12225.0,239.0,0.13,22.63
1551152,2023,2,ABBV,124.94,13865.0,2024.0,1.14,32.55
1551152,2023,3,ABBV,139.76,13927.0,1778.0,1.0,16.38
1551152,2024,1,ABBV,174.09,12310.0,1369.0,0.77,22.73
1551152,2024,2,ABBV,165.51,14462.0,1370.0,0.77,27.64
1551152,2024,3,ABBV,192.31,14460.0,1561.0,0.88,26.49
1800,2000,2,ABT,10.55,3370.15,685.2,0.44,24.97
1800,2000,3,ABT,11.31,3317.9,654.42,0.42,23.66
1800,2001,1,ABT,11.32,3559.88,-223.61,-0.14,-4.6
1800,2001,2,ABT,11.56,4099.12,529.05,0.34,14.6
1800,2001,3,ABT,12.54,4181.19,631.4,0.41,17.81
1800,2002,1,ABT,12.83,4189.29,854.28,0.55,24.94
1800,2002,2,ABT,9.22,4314.89,592.27,0.38,15.83
1800,2002,3,ABT,9.96,4341.24,720.05,0.46,21.03
1800,2003,1,ABT,9.38,4580.46,800.98,0.51,21.4
1800,2003,2,ABT,10.99,4723.64,246.64,0.16,6.89
1800,2003,3,ABT,10.74,4845.88,761.22,0.49,18.8
1800,2004,1,ABT,10.49,5216.05,822.91,0.53,19.79
